UNIPROT,pvalue,qvalue,effectSize,directedEffect
P30084,0.047136057,0.10495823,0.21052551,0.21052551
P30085,0.004230928,0.02106649,0.57904434,0.57904434
P30086,4.43E-05,0.002268734,2.0518475,2.0518475
P30101,0.009973755,0.03505481,0.9957199,0.9957199
P30153,0.009585284,0.034363233,2.1188688,2.1188688
P30405,3.06E-05,0.001928815,2.5452766,-2.5452766
P30613,0.46034336,0.57203823,0.38920593,0.38920593
P30837,0.1781428,0.28267476,0.23166943,0.23166943
P31040,0.026994148,0.06958932,0.70888233,-0.70888233
P31153,0.12875345,0.22244878,2.4926863,-2.4926863
P31327,0.000807652,0.007932683,0.7223015,0.7223015
P31513,0.14170031,0.23905668,3.7854996,-3.7854996
P31930,0.00158465,0.011473483,1.3865767,-1.3865767
P31937,0.019015418,0.05475524,1.3621826,1.3621826
P31939,0.002621132,0.01579287,0.71189976,-0.71189976
P31942,0.027695056,0.07066672,0.76177406,0.76177406
P31946,0.001093725,0.009370263,2.382804,2.382804
P31947,0.08277067,0.16083077,2.459319,-2.459319
P31948,0.1817058,0.28696692,0.95836353,-0.95836353
P31949,0.027559,0.070570715,0.75418186,-0.75418186
P32119,0.06842591,0.13972546,0.8727617,0.8727617
P32754,0.043883856,0.10054816,1.3341475,-1.3341475
P32969,0.10270572,0.18763174,1.3462296,1.3462296
P33121,0.027078694,0.06958932,1.0544062,-1.0544062
P34896,0.51485574,0.62780863,0.54796696,-0.54796696
P34897,0.07171639,0.14485279,0.83156013,0.83156013
P34932,0.2779671,0.38624498,0.2108202,-0.2108202
P35221,0.102699816,0.18763174,0.35031414,-0.35031414
P35232,0.006923036,0.028203497,0.4868908,0.4868908
P35241,0.17125653,0.27531594,1.2154627,1.2154627
P35268,0.31604776,0.42356315,0.30480003,-0.30480003
P35527,0.003778121,0.019349378,2.5885468,2.5885468
P35558,0.013560633,0.043797165,0.94764423,-0.94764423
P35573,0.07543069,0.15065125,1.5532084,-1.5532084
P35579,0.042494636,0.098475866,0.913723,-0.913723
P35606,0.66809374,0.76117134,0.30144024,-0.30144024
P35609,0.14045471,0.23807564,0.48687363,0.48687363
P35754,0.018965347,0.05475524,0.9618101,-0.9618101
P35908,0.74636376,0.82077134,0.17577362,0.17577362
P35914,0.04389343,0.10054816,0.4418211,0.4418211
P35998,0.23353453,0.34739462,1.8130236,-1.8130236
P36542,0.000338887,0.004859645,1.5241938,-1.5241938
P36578,0.12494008,0.21796104,0.9104481,-0.9104481
P36776,0.06594512,0.13631591,0.4077282,0.4077282
P36871,0.01656709,0.049701273,2.235775,2.235775
P36957,0.24306548,0.35207653,0.5036402,0.5036402
P37802,0.011424236,0.039192226,1.6711264,1.6711264
P37837,0.02321272,0.06280571,1.0134373,-1.0134373
P38117,0.6465834,0.74414146,0.059446335,0.059446335
P38159,6.08E-05,0.002293301,1.6146088,1.6146088
P38606,0.000154505,0.003209613,1.5359497,1.5359497
P38646,0.001469833,0.011106757,0.8332939,0.8332939
P38919,0.2955517,0.40210724,0.9608593,-0.9608593
P39019,3.01E-05,0.001928815,3.29002,-3.29002
P39023,0.9140717,0.94258136,0.011107445,-0.011107445
P39656,0.25109637,0.3622456,0.5667944,-0.5667944
P39687,0.0931438,0.1748274,0.38167763,-0.38167763
P40121,0.25297433,0.36422202,0.9799738,0.9799738
P40227,8.26E-05,0.002575901,1.7353764,1.7353764
P40429,0.026077827,0.067996606,1.1506586,1.1506586
P40925,0.57555556,0.67985696,0.38893795,0.38893795
P40926,0.30389702,0.40957555,0.20697403,0.20697403
P40939,0.13996907,0.23781468,0.2645855,-0.2645855
P41091,0.014639583,0.045723904,2.1551514,-2.1551514
P41250,0.018017173,0.053263135,2.0630589,-2.0630589
P42330,0.80510294,0.86029637,0.02875328,0.02875328
P42677,0.012897616,0.042226423,8.506096,-8.506096
P42704,0.53415394,0.64476126,0.12784195,0.12784195
P42765,0.000416011,0.005396504,1.0625429,1.0625429
P42766,0.05468101,0.118447974,1.0062256,-1.0062256
P43243,0.6787545,0.76640457,0.11141586,-0.11141586
P43490,0.05516525,0.119137,0.3780222,0.3780222
P43686,0.06597159,0.13631591,0.4479351,-0.4479351
P45880,0.73132557,0.80798674,0.099637985,-0.099637985
P45954,0.000209876,0.003762021,3.125476,3.125476
P46776,0.7356509,0.8108204,0.33877468,-0.33877468
P46777,0.044462036,0.100565545,0.5553093,-0.5553093
P46778,0.030534152,0.07674036,0.53186226,0.53186226
P46779,0.19916017,0.3062382,0.22825813,-0.22825813
P46781,0.17379789,0.2775347,0.5548248,-0.5548248
P46977,0.63681006,0.7364398,0.13327026,-0.13327026
P47756,0.96887785,0.97915465,0.008699417,-0.008699417
P47914,0.29315183,0.4003616,0.21106815,-0.21106815
P48047,0.19397752,0.30104294,0.71353436,-0.71353436
P48444,0.9017781,0.93842494,0.075315475,-0.075315475
P48449,0.26264656,0.37191322,0.76696014,-0.76696014
P48637,0.72985226,0.80798674,0.17416096,-0.17416096
P48643,0.020226983,0.056656595,0.58945465,-0.58945465
P48735,0.002706387,0.015940197,0.771348,-0.771348
P49189,0.011192805,0.038582876,0.52805233,0.52805233
P49207,0.014040141,0.044741236,1.4025936,-1.4025936
P49326,0.10050505,0.18524966,0.7710848,-0.7710848
P49327,0.035344068,0.085325554,0.4766369,0.4766369
P49368,0.10284421,0.18763174,0.30242348,0.30242348
P49411,0.005009923,0.02231127,0.6468048,0.6468048
P49419,3.84E-05,0.002120416,1.8642225,1.8642225
P49588,0.004568803,0.021693299,0.6712465,0.6712465
P49591,0.96923006,0.97915465,0.024831772,-0.024831772
P49748,0.050267946,0.11022049,1.4900961,-1.4900961
P49755,0.9366417,0.9593886,0.01312542,-0.01312542
P49773,0.012542193,0.04182675,1.844224,-1.844224
P49821,0.04606753,0.10354361,0.31637478,0.31637478
P50395,0.05302962,0.11521886,0.7697668,0.7697668
P50416,0.10344466,0.1882483,2.4793444,-2.4793444
P50440,0.01894494,0.05475524,0.506794,-0.506794
P50502,1.87E-05,0.001928815,2.950283,2.950283
P50914,0.000105277,0.002909405,1.4929895,-1.4929895
P50990,0.002882559,0.016403133,1.3701572,-1.3701572
P50991,0.86733365,0.91050947,0.027611732,0.027611732
P50995,0.26532292,0.37191322,0.44871712,0.44871712
P51148,0.001816022,0.012400838,0.54805183,0.54805183
P51570,0.03440465,0.084191576,0.83146095,0.83146095
P51571,0.014667366,0.045723904,1.031887,1.031887
P51648,0.6764747,0.7650718,0.24107647,-0.24107647
P51649,0.006344907,0.026604075,0.39916325,0.39916325
P51659,0.019191513,0.054821953,1.1946669,-1.1946669
P51858,0.012378618,0.041474152,1.0613079,1.0613079
P51991,0.007414255,0.029370282,1.5988626,1.5988626
P52209,0.9558089,0.974843,0.064665794,-0.064665794
P52272,0.11394162,0.20221815,0.7914429,0.7914429
P52565,0.029014615,0.07377118,1.1136122,-1.1136122
P52597,0.000143422,0.003142302,2.2396593,2.2396593
P52758,0.004315275,0.021220481,1.6423178,1.6423178
P52895,0.001446466,0.011106757,1.3038406,-1.3038406
P53007,0.72010034,0.80048347,0.11112499,0.11112499
P53396,0.009182039,0.033589385,0.923604,-0.923604
P53597,0.19980288,0.3062382,1.9105129,-1.9105129
P53621,0.42832237,0.53878444,0.26758766,0.26758766
P54136,0.9695958,0.97915465,0.019303322,0.019303322
P54578,0.08474394,0.16260311,1.940423,-1.940423
P54727,0.40352675,0.5175824,0.43473816,-0.43473816
P54819,0.43451193,0.54561293,0.13869095,0.13869095
P54868,0.08064846,0.15756111,0.2502699,0.2502699
P54920,0.005308645,0.023495665,1.3887615,-1.3887615
P55072,0.9085528,0.94258136,0.032586098,0.032586098
P55084,0.060078282,0.12782228,0.81975365,0.81975365
P55157,0.41002062,0.5231045,0.30733967,-0.30733967
P56385,0.080639094,0.15756111,3.1847801,-3.1847801
P56537,0.004781391,0.02183603,1.0305367,-1.0305367
P57088,0.39433646,0.50943995,0.5491524,0.5491524
P60174,0.19837768,0.30588546,0.4530754,0.4530754
P60228,0.36163726,0.47576842,0.4491024,0.4491024
P60468,0.3968891,0.51148677,0.33943748,-0.33943748
P60660,0.00160668,0.011473483,1.0632,1.0632
P60842,0.73063344,0.80798674,0.039541245,0.039541245
P60866,0.21351953,0.3243506,0.5730324,0.5730324
P60900,0.19054458,0.29635677,0.34103298,-0.34103298
P60903,0.000201037,0.003695983,2.9954777,2.9954777
P60981,0.53810054,0.6484336,0.58055496,-0.58055496
P61026,0.006806893,0.02788881,1.6607714,-1.6607714
P61106,6.82E-05,0.002364307,1.0913372,-1.0913372
P61158,0.08359152,0.16111593,1.3209047,-1.3209047
P61160,0.02270812,0.06190767,1.6997929,1.6997929
P61163,0.008065936,0.0308716,1.7270613,1.7270613
P61247,0.67650706,0.7650718,0.016637802,0.016637802
P61254,5.78E-05,0.002293301,1.7586937,-1.7586937
P61313,0.012055614,0.040966224,1.2192421,-1.2192421
P61353,0.8513583,0.90033007,0.052313805,-0.052313805
P61604,0.010540294,0.036686357,1.4745035,-1.4745035
P61619,0.23520441,0.3491543,2.3132858,-2.3132858
P61769,0.6619944,0.7570175,0.2928505,0.2928505
P61978,0.08914394,0.16864431,0.52854633,0.52854633
P61981,0.009107674,0.033488203,1.9861803,1.9861803
P62081,0.550904,0.66163826,0.19916344,0.19916344
P62158,0.36476538,0.47742352,1.0215673,-1.0215673
P62191,0.03731543,0.08859325,2.0494318,2.0494318
P62195,0.000790104,0.007913144,1.2538404,1.2538404
P62241,0.9399443,0.96002835,0.031562805,0.031562805
