"TF"	"target"	"tissue"	"TF_EntrezID"	"TF_Ensembl_ID"	"target_EntrezID"	"Paper"
"HULC"	"MORC2"	"Liver"	728655	"ENSG00000251164"	22880	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"NDUFC2"	"Liver"	728655	"ENSG00000251164"	4718	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"NF195"	"Liver"	728655	"ENSG00000251164"	0	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"NNT"	"Liver"	728655	"ENSG00000251164"	23530	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"NOP53"	"Liver"	728655	"ENSG00000251164"	29997	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"RPRD1A"	"Liver"	728655	"ENSG00000251164"	55197	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"SDC4"	"Liver"	728655	"ENSG00000251164"	6385	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"SH3D19"	"Liver"	728655	"ENSG00000251164"	152503	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"SNAPC2"	"Liver"	728655	"ENSG00000251164"	6618	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"TBCB"	"Liver"	728655	"ENSG00000251164"	1155	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"TM9SF3"	"Liver"	728655	"ENSG00000251164"	56889	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"HULC"	"VPS4A"	"Liver"	728655	"ENSG00000251164"	27183	"Panzitt, K., et al. (2007). \"Characterization of HULC, a novel gene with striking up-regulation in hepatocellular carcinoma, as noncoding RNA.\" Gastroenterology 132(1): 330-342."
"EGOT"	"MBP"	"Blood"	100126791	"ENSG00000235947"	4155	"Wagner, L. A., et al. (2007). \"EGO, a novel, noncoding RNA gene, regulates eosinophil granule protein transcript expression.\" Blood 109(12): 5191-5198."
"EGOT"	"RNASE2"	"Blood"	100126791	"ENSG00000235947"	6036	"Wagner, L. A., et al. (2007). \"EGO, a novel, noncoding RNA gene, regulates eosinophil granule protein transcript expression.\" Blood 109(12): 5191-5198."
"CDKN2B-AS1"	"CDKN2B"	"Colon"	100048912	"ENSG00000240498"	1030	"Yu W., et al. (2008). \"Epigenetic silencing of tumour suppressor gene p15 by its antisense RNA.\" Nature 451(7175): 202-206."
"BACE1-AS"	"BACE1"	"Brian"	100379571	"NA"	23621	"Faghihi, M. A., et al. (2008). \"Expression of a noncoding RNA is elevated in Alzheimer's disease and drives rapid feed-forward regulation of beta-secretase.\" Nat Med 14(7): 723-730."
"HOTAIRM1"	"HOXA1"	"Blood"	100506311	"ENSG00000233429"	3198	"Zhang, X., et al. (2009). \"A myelopoiesis-associated regulatory intergenic noncoding RNA transcript within the human HOXA cluster.\" Blood 113(11): 2526-2534."
"HOTAIRM1"	"HOXA4"	"Blood"	100506311	"ENSG00000233429"	3201	"Zhang, X., et al. (2009). \"A myelopoiesis-associated regulatory intergenic noncoding RNA transcript within the human HOXA cluster.\" Blood 113(11): 2526-2534."
"Dlx6os1"	"Dlx5"	"Brian"	320038	"NA"	13395	"Bond, A. M., et al. (2009). \"Balanced gene regulation by an embryonic brain ncRNA is critical for adult hippocampal GABA circuitry.\" Nat Neurosci 12(8): 1020-1027."
"Dlx6os1"	"Dlx6"	"Brian"	320038	"NA"	13396	"Bond, A. M., et al. (2009). \"Balanced gene regulation by an embryonic brain ncRNA is critical for adult hippocampal GABA circuitry.\" Nat Neurosci 12(8): 1020-1027."
"Dlx6os1"	"Gad1"	"Brian"	320038	"NA"	14415	"Bond, A. M., et al. (2009). \"Balanced gene regulation by an embryonic brain ncRNA is critical for adult hippocampal GABA circuitry.\" Nat Neurosci 12(8): 1020-1027."
"Miat"	"Aff1"	"Embryo"	330166	"ENSMUSG00000097767"	17355	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
"Miat"	"Cdx2"	"Embryo"	330166	"ENSMUSG00000097767"	12591	"Sheik Mohamed, J., et al. (2010). \"Conserved long noncoding RNAs transcriptionally regulated by Oct4 and Nanog modulate pluripotency in mouse embryonic stem cells.\" RNA 16(2): 324-337."
