source	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
BRD2	TPP1	NA	NA	NA	NA
BRD2	LDHA	NA	NA	NA	NA
BRD2	HTATIP2	NA	NA	NA	NA
BRD2	CD59	NA	NA	NA	NA
BRD2	HSD17B12	NA	NA	NA	NA
BRD2	F2	NA	NA	NA	NA
BRD2	AHNAK	NA	NA	NA	NA
BRD2	EEF1G	NA	NA	NA	NA
BRD2	GANAB	NA	NA	NA	NA
BRD2	STIP1	NA	NA	NA	NA
BRD2	PRDX5	NA	NA	NA	NA
BRD2	CFL1	NA	NA	NA	NA
BRD2	PC	NA	NA	NA	NA
BRD2	NDUFV1	NA	NA	NA	NA
BRD2	CTTN	NA	NA	NA	NA
BRD2	RPS3	NA	NA	NA	NA
BRD2	C11orf54	NA	NA	NA	NA
BRD2	ACAT1	NA	NA	NA	NA
BRD2	DLAT	NA	NA	NA	NA
BRD2	APOA1	NA	NA	NA	NA
BRD2	ARCN1	NA	NA	NA	NA
BRD2	RPS25	NA	NA	NA	NA
BRD2	HYOU1	NA	NA	NA	NA
BRD2	HSPA8	NA	NA	NA	NA
BRD2	STT3A	NA	NA	NA	NA
BRD2	FKBP4	NA	NA	NA	NA
BRD2	GAPDH	NA	NA	NA	NA
BRD2	TPI1	NA	NA	NA	NA
BRD2	PHB2	NA	NA	NA	NA
BRD2	STRAP	NA	NA	NA	NA
BRD2	TUBA1B	NA	NA	NA	NA
BRD2	GPD1	NA	NA	NA	NA
BRD2	KRT8	NA	NA	NA	NA
BRD2	KRT18	NA	NA	NA	NA
BRD2	EIF4B	NA	NA	NA	NA
BRD2	HNRNPA1	NA	NA	NA	NA
BRD2	RPS26	NA	NA	NA	NA
BRD2	PA2G4	NA	NA	NA	NA
BRD2	ESYT1	NA	NA	NA	NA
BRD2	MYL6	NA	NA	NA	NA
BRD2	CS	NA	NA	NA	NA
BRD2	PTGES3	NA	NA	NA	NA
BRD2	LRP1	NA	NA	NA	NA
BRD2	SHMT2	NA	NA	NA	NA
BRD2	EEA1	NA	NA	NA	NA
BRD2	SLC25A3	NA	NA	NA	NA
BRD2	HSP90B1	NA	NA	NA	NA
BRD2	TXNRD1	NA	NA	NA	NA
BRD2	CKAP4	NA	NA	NA	NA
BRD2	CORO1C	NA	NA	NA	NA
BRD2	ATP2A2	NA	NA	NA	NA
BRD2	ARPC3	NA	NA	NA	NA
BRD2	ALDH2	NA	NA	NA	NA
BRD2	ERP29	NA	NA	NA	NA
BRD2	RPL6	NA	NA	NA	NA
BRD2	PEBP1	NA	NA	NA	NA
BRD2	RPLP0	NA	NA	NA	NA
BRD2	ACADS	NA	NA	NA	NA
BRD2	HPD	NA	NA	NA	NA
BRD2	RAN	NA	NA	NA	NA
BRD2	TUBB2A	NA	NA	NA	NA
BRD2	ECI2	NA	NA	NA	NA
BRD2	DSP	NA	NA	NA	NA
BRD2	TXNDC5	NA	NA	NA	NA
BRD2	ALDH5A1	NA	NA	NA	NA
BRD2	TUBB	NA	NA	NA	NA
BRD2	CLIC1	NA	NA	NA	NA
BRD2	C4A	NA	NA	NA	NA
BRD2	C4B	NA	NA	NA	NA
BRD2	HSD17B8	NA	NA	NA	NA
BRD2	RPS18	NA	NA	NA	NA
BRD2	RPL10A	NA	NA	NA	NA
BRD2	SRSF3	NA	NA	NA	NA
BRD2	HSP90AB1	NA	NA	NA	NA
BRD2	SYNCRIP	NA	NA	NA	NA
BRD2	EZR	NA	NA	NA	NA
BRD2	SOD2	NA	NA	NA	NA
BRD2	CCT8	NA	NA	NA	NA
BRD2	GART	NA	NA	NA	NA
BRD2	PFKL	NA	NA	NA	NA
BRD2	FTCD	NA	NA	NA	NA
BRD2	LSS	NA	NA	NA	NA
BRD2	EIF4A3	NA	NA	NA	NA
BRD2	KRT17	NA	NA	NA	NA
BRD4	SNRPD3	NA	NA	NA	NA
BRD4	NIPSNAP1	NA	NA	NA	NA
BRD4	MYH9	NA	NA	NA	NA
BRD4	LGALS1	NA	NA	NA	NA
BRD4	RPS6	NA	NA	NA	NA
BRD4	TLN1	NA	NA	NA	NA
BRD4	HNRNPK	NA	NA	NA	NA
BRD4	ERP44	NA	NA	NA	NA
BRD4	PTGR1	NA	NA	NA	NA
BRD4	RAB14	NA	NA	NA	NA
