TF	target	TF_EntrezID	TF_Ensembl_ID	target_EntrezID	Paper
LMNB1	ACAT1	NA	NA	NA	NA
LMNB1	DLAT	NA	NA	NA	NA
LMNB1	APOA1	NA	NA	NA	NA
LMNB1	ARCN1	NA	NA	NA	NA
LMNB1	RPS25	NA	NA	NA	NA
LMNB1	HYOU1	NA	NA	NA	NA
LMNB1	HSPA8	NA	NA	NA	NA
LMNB1	STT3A	NA	NA	NA	NA
LMNB1	CYCS	NA	NA	NA	NA
LMNB1	HNRNPA2B1	NA	NA	NA	NA
LMNB1	HIBADH	NA	NA	NA	NA
LMNB1	OGDH	NA	NA	NA	NA
LMNB1	PPIA	NA	NA	NA	NA
LMNB1	CCT6A	NA	NA	NA	NA
LMNB1	ASL	NA	NA	NA	NA
LMNB1	POR	NA	NA	NA	NA
LMNB1	MDH2	NA	NA	NA	NA
LMNB1	HSPB1	NA	NA	NA	NA
LMNB1	YWHAG	NA	NA	NA	NA
LMNB1	ARPC1B	NA	NA	NA	NA
LMNB1	SND1	NA	NA	NA	NA
LMNB1	AKR1B1	NA	NA	NA	NA
LMNB1	SSBP1	NA	NA	NA	NA
LMNB1	GSTK1	NA	NA	NA	NA
LMNB1	ZYX	NA	NA	NA	NA
LMNB1	PDIA4	NA	NA	NA	NA
LMNB1	RPS7	NA	NA	NA	NA
LMNB1	YWHAQ	NA	NA	NA	NA
LMNB1	PDIA6	NA	NA	NA	NA
LMNB1	DDX1	NA	NA	NA	NA
LMNB1	HADHA	NA	NA	NA	NA
LMNB1	HADHB	NA	NA	NA	NA
LMNB1	LRPPRC	NA	NA	NA	NA
LMNB1	SPTBN1	NA	NA	NA	NA
LMNB1	CCT4	NA	NA	NA	NA
LMNB1	UGP2	NA	NA	NA	NA
LMNB1	ANXA4	NA	NA	NA	NA
LMNB1	PCBP1	NA	NA	NA	NA
LMNB1	CCT7	NA	NA	NA	NA
LMNB1	CAPG	NA	NA	NA	NA
LMNB1	MAT2A	NA	NA	NA	NA
LMNB1	IMMT	NA	NA	NA	NA
LMNB1	ACTR3	NA	NA	NA	NA
LMNB1	HNRNPA3	NA	NA	NA	NA
LMNB1	HSPD1	NA	NA	NA	NA
LMNB1	HSPE1	NA	NA	NA	NA
LMNB1	EEF1B2	NA	NA	NA	NA
LMNB1	IDH1	NA	NA	NA	NA
LMNB1	CPS1	NA	NA	NA	NA
LMNB1	XRCC5	NA	NA	NA	NA
LMNB1	VIL1	NA	NA	NA	NA
LMNB1	TUBA4A	NA	NA	NA	NA
LMNB1	PSMD1	NA	NA	NA	NA
LMNB1	HDLBP	NA	NA	NA	NA
LMNB1	GAPDH	NA	NA	NA	NA
LMNB1	TPI1	NA	NA	NA	NA
LMNB1	PHB2	NA	NA	NA	NA
LMNB1	TUBA1B	NA	NA	NA	NA
LMNB1	GPD1	NA	NA	NA	NA
LMNB1	KRT8	NA	NA	NA	NA
LMNB1	KRT18	NA	NA	NA	NA
LMNB1	EIF4B	NA	NA	NA	NA
LMNB1	HNRNPA1	NA	NA	NA	NA
LMNB1	PA2G4	NA	NA	NA	NA
LMNB1	ESYT1	NA	NA	NA	NA
LMNB1	MYL6	NA	NA	NA	NA
LMNB1	CS	NA	NA	NA	NA
LMNB1	LRP1	NA	NA	NA	NA
LMNB1	SHMT2	NA	NA	NA	NA
LMNB1	HSP90B1	NA	NA	NA	NA
LMNB1	TXNRD1	NA	NA	NA	NA
LMNB1	ALDH1L2	NA	NA	NA	NA
LMNB1	CKAP4	NA	NA	NA	NA
LMNB1	CORO1C	NA	NA	NA	NA
LMNB1	ATP2A2	NA	NA	NA	NA
LMNB1	ARPC3	NA	NA	NA	NA
LMNB1	ALDH2	NA	NA	NA	NA
LMNB1	ERP29	NA	NA	NA	NA
LMNB1	PEBP1	NA	NA	NA	NA
LMNB1	RPLP0	NA	NA	NA	NA
LMNB1	ACADS	NA	NA	NA	NA
LMNB1	HPD	NA	NA	NA	NA
LMNB1	RAN	NA	NA	NA	NA
LMNB1	CCT8	NA	NA	NA	NA
LMNB1	CBR1	NA	NA	NA	NA
LMNB1	PFKL	NA	NA	NA	NA
LMNB1	CTSB	NA	NA	NA	NA
LMNB1	ATP6V1B2	NA	NA	NA	NA
LMNB1	DPYSL2	NA	NA	NA	NA
LMNB1	CLU	NA	NA	NA	NA
LMNB1	GSR	NA	NA	NA	NA
LMNB1	RPL30	NA	NA	NA	NA
LMNB1	NDRG1	NA	NA	NA	NA
LMNB1	NAPRT	NA	NA	NA	NA
LMNB1	EEF1D	NA	NA	NA	NA
LMNB1	PLEC	NA	NA	NA	NA
LMNB1	CYC1	NA	NA	NA	NA
LMNB1	GPT	NA	NA	NA	NA
LMNB1	RPL8	NA	NA	NA	NA
LMNB1	SLC25A1	NA	NA	NA	NA
LMNB1	SNRPD3	NA	NA	NA	NA
LMNB1	NIPSNAP1	NA	NA	NA	NA
LMNB1	YWHAH	NA	NA	NA	NA
LMNB1	RTCB	NA	NA	NA	NA
LMNB1	APOL2	NA	NA	NA	NA
LMNB1	MYH9	NA	NA	NA	NA
LMNB1	TST	NA	NA	NA	NA
LMNB1	MPST	NA	NA	NA	NA
LMNB1	LGALS1	NA	NA	NA	NA
LMNB1	ST13	NA	NA	NA	NA
LMNB1	ACO2	NA	NA	NA	NA
LMNB1	XRCC6	NA	NA	NA	NA
LMNB1	CYB5R3	NA	NA	NA	NA
LMNB1	TYMP	NA	NA	NA	NA
LMNB1	RPL32	NA	NA	NA	NA
LMNB1	RPL15	NA	NA	NA	NA
LMNB1	PDCD6IP	NA	NA	NA	NA
LMNB1	ACAA1	NA	NA	NA	NA
LMNB1	RPSA	NA	NA	NA	NA
LMNB1	RPL14	NA	NA	NA	NA
LMNB1	MAP4	NA	NA	NA	NA
LMNB1	UQCRC1	NA	NA	NA	NA
LMNB1	IMPDH2	NA	NA	NA	NA
LMNB1	GPX1	NA	NA	NA	NA
LMNB1	ACY1	NA	NA	NA	NA
LMNB1	RPL29	NA	NA	NA	NA
LMNB1	TKT	NA	NA	NA	NA
LMNB1	RPL24	NA	NA	NA	NA
LMNB1	ATP6V1A	NA	NA	NA	NA
LMNB1	PDIA5	NA	NA	NA	NA
LMNB1	ALDH1L1	NA	NA	NA	NA
LMNB1	SEC61A1	NA	NA	NA	NA
LMNB1	RPN1	NA	NA	NA	NA
LMNB1	COPG1	NA	NA	NA	NA
LMNB1	PCCB	NA	NA	NA	NA
LMNB1	COPB2	NA	NA	NA	NA
LMNB1	PSMD2	NA	NA	NA	NA
LMNB1	EIF4G1	NA	NA	NA	NA
LMNB1	TFRC	NA	NA	NA	NA
LMNB1	BDH1	NA	NA	NA	NA
LMNB1	PLIN2	NA	NA	NA	NA
LMNB1	VCP	NA	NA	NA	NA
LMNB1	TLN1	NA	NA	NA	NA
LMNB1	GRHPR	NA	NA	NA	NA
LMNB1	ALDH1B1	NA	NA	NA	NA
LMNB1	TJP2	NA	NA	NA	NA
LMNB1	FBP1	NA	NA	NA	NA
LMNB1	RAB14	NA	NA	NA	NA
LMNB1	GSN	NA	NA	NA	NA
LMNB1	STOM	NA	NA	NA	NA
LMNB1	RPL35	NA	NA	NA	NA
LMNB1	HSPA5	NA	NA	NA	NA
LMNB1	RPL12	NA	NA	NA	NA
LMNB1	AK1	NA	NA	NA	NA
LMNB1	ASS1	NA	NA	NA	NA
LMNB1	RPL7A	NA	NA	NA	NA
LMNB1	PMPCA	NA	NA	NA	NA
LMNB1	TUBB4B	NA	NA	NA	NA
LMNB1	SDHA	NA	NA	NA	NA
LMNB1	CCT5	NA	NA	NA	NA
LMNB1	CMBL	NA	NA	NA	NA
LMNB1	NADK2	NA	NA	NA	NA
LMNB1	RPS23	NA	NA	NA	NA
LMNB1	GLRX	NA	NA	NA	NA
LMNB1	CAST	NA	NA	NA	NA
LMNB1	ALDH7A1	NA	NA	NA	NA
LMNB1	LMNB1	NA	NA	NA	NA
LMNB1	HINT1	NA	NA	NA	NA
LMNB1	HSPA4	NA	NA	NA	NA
LMNB1	VDAC1	NA	NA	NA	NA
LMNB1	HSPA9	NA	NA	NA	NA
LMNB1	CTNNA1	NA	NA	NA	NA
LMNB1	MATR3	NA	NA	NA	NA
LMNB1	RPS14	NA	NA	NA	NA
LMNB1	ANXA6	NA	NA	NA	NA
LMNB1	NPM1	NA	NA	NA	NA
LMNB1	ERGIC1	NA	NA	NA	NA
LMNB1	CLTB	NA	NA	NA	NA
LMNB1	LMAN2	NA	NA	NA	NA
LMNB1	HNRNPAB	NA	NA	NA	NA
LMNB1	CANX	NA	NA	NA	NA
